year,quarter,statement,market,endpoint,status,matched_companies
2020,2,balance_sheet,otc,ajax_t163sb05,ok,5
2020,2,cash_flow,sii,ajax_t163sb20,ok,31
2020,2,cash_flow,otc,ajax_t163sb20,ok,5
2020,3,income_statement,sii,ajax_t163sb04,ok,31
2020,3,income_statement,otc,ajax_t163sb04,ok,4
2020,3,balance_sheet,sii,ajax_t163sb05,ok,31
2020,3,balance_sheet,otc,ajax_t163sb05,ok,4
2020,3,cash_flow,sii,ajax_t163sb20,ok,31
2020,3,cash_flow,otc,ajax_t163sb20,ok,4
2020,4,income_statement,sii,ajax_t163sb04,ok,31
2020,4,income_statement,otc,ajax_t163sb04,ok,5
2020,4,balance_sheet,sii,ajax_t163sb05,ok,31
2020,4,balance_sheet,otc,ajax_t163sb05,ok,5
2020,4,cash_flow,sii,ajax_t163sb20,ok,31
2020,4,cash_flow,otc,ajax_t163sb20,ok,5
2021,1,income_statement,sii,ajax_t163sb04,ok,31
2021,1,income_statement,otc,ajax_t163sb04,ok,4
2021,1,balance_sheet,sii,ajax_t163sb05,ok,31
2021,1,balance_sheet,otc,ajax_t163sb05,ok,4
2021,1,cash_flow,sii,ajax_t163sb20,ok,31
2021,1,cash_flow,otc,ajax_t163sb20,ok,4
2021,2,income_statement,sii,ajax_t163sb04,ok,31
2021,2,income_statement,otc,ajax_t163sb04,ok,5
2021,2,balance_sheet,sii,ajax_t163sb05,ok,31
2021,2,balance_sheet,otc,ajax_t163sb05,ok,5
2021,2,cash_flow,sii,ajax_t163sb20,ok,31
2021,2,cash_flow,otc,ajax_t163sb20,ok,5
2021,3,income_statement,sii,ajax_t163sb04,ok,31
2021,3,income_statement,otc,ajax_t163sb04,ok,4
2021,3,balance_sheet,sii,ajax_t163sb05,ok,31
2021,3,balance_sheet,otc,ajax_t163sb05,ok,4
2021,3,cash_flow,sii,ajax_t163sb20,ok,31
2021,3,cash_flow,otc,ajax_t163sb20,ok,4
2021,4,income_statement,sii,ajax_t163sb04,ok,31
2021,4,income_statement,otc,ajax_t163sb04,ok,5
2021,4,balance_sheet,sii,ajax_t163sb05,ok,31
2021,4,balance_sheet,otc,ajax_t163sb05,ok,5
2021,4,cash_flow,sii,ajax_t163sb20,ok,31
2021,4,cash_flow,otc,ajax_t163sb20,ok,5
2022,1,income_statement,sii,ajax_t163sb04,ok,31
